date,company,Country,Price_USD,Shares,MktCapUSD
2008-01-02,FORD MTR CO,USA,6.6,2039353000,13459729800.0
2008-01-03,FORD MTR CO,USA,6.45,2039353000,13153826850.0
2008-01-04,FORD MTR CO,USA,6.13,2039353000,12501233890.0
2008-01-07,FORD MTR CO,USA,6.16,2039353000,12562414480.0
2008-01-08,FORD MTR CO,USA,6.1,2039353000,12440053300.0
2008-01-09,FORD MTR CO,USA,6.07,2039353000,12378872710.0
2008-01-10,FORD MTR CO,USA,6.25,2039353000,12745956250.0
2008-01-11,FORD MTR CO,USA,6.06,2039353000,12358479180.0
2008-01-14,FORD MTR CO,USA,6.18,2039353000,12603201540.0
2008-01-15,FORD MTR CO,USA,5.97,2039353000,12174937410.0
2008-01-16,FORD MTR CO,USA,5.86,2039353000,11950608580.0
2008-01-17,FORD MTR CO,USA,5.76,2039353000,11746673280.0
2008-01-18,FORD MTR CO,USA,5.92,2039353000,12072969760.0
2008-01-22,FORD MTR CO,USA,5.93,2039353000,12093363290.0
2008-01-23,FORD MTR CO,USA,6.3,2039353000,12847923900.0
2008-01-24,FORD MTR CO,USA,6.26,2039353000,12766349780.0
2008-01-25,FORD MTR CO,USA,6.58,2039353000,13418942740.0
2008-01-28,FORD MTR CO,USA,6.67,2039353000,13602484510.0
2008-01-29,FORD MTR CO,USA,6.69,2039353000,13643271570.0
2008-01-30,FORD MTR CO,USA,6.75,2039353000,13765632750.0
2008-01-31,FORD MTR CO,USA,6.64,2039353000,13541303920.0
2008-02-01,FORD MTR CO,USA,6.85,2039353000,13969568050.0
2008-02-04,FORD MTR CO,USA,6.68,2039353000,13622878040.0
2008-02-05,FORD MTR CO,USA,6.43,2039353000,13113039790.0
2008-02-06,FORD MTR CO,USA,6.31,2039353000,12868317430.0
2008-02-07,FORD MTR CO,USA,6.17,2039353000,12582808010.0
2008-02-08,FORD MTR CO,USA,6.08,2039353000,12399266240.0
2008-02-11,FORD MTR CO,USA,6.39,2039353000,13031465670.0
2008-02-12,FORD MTR CO,USA,6.46,2039353000,13174220380.0
2008-02-13,FORD MTR CO,USA,6.58,2039353000,13418942740.0
2008-02-14,FORD MTR CO,USA,6.46,2039353000,13174220380.0
2008-02-15,FORD MTR CO,USA,6.45,2039353000,13153826850.0
2008-02-19,FORD MTR CO,USA,6.48,2039353000,13215007440.0
2008-02-20,FORD MTR CO,USA,6.41,2039353000,13072252730.0
2008-02-21,FORD MTR CO,USA,6.23,2039353000,12705169190.0
2008-02-22,FORD MTR CO,USA,6.25,2039353000,12745956250.0
